Year,Make,Model,Anti-Theft Module Location,PATS Type,ParameterReset
2001,Ford,Focus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2001,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2001,Ford,"Ranger (2.3L, 3.0L, & 4.0L)",Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2001,Ford,Taurus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2001,Ford,Windstar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Ford,Crown Victoria,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2002,Ford,Escape,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Ford,Excursion,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2002,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Ford,Explorer (4dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Ford,Explorer Sport (2dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Ford,Explorer Sport Trac,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Ford,F-150 Harley-Davidson,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Ford,F-150 Heritage,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Ford,Focus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Ford,"Ranger (2.3L, 3.0L, & 4.0L)",Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Ford,Taurus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Ford,Thunderbird,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Ford,Windstar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Escape,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Excursion,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2003,Ford,Expedition,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Explorer (4dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Explorer Sport (2dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Explorer Sport Trac,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,F-150 Harley-Davidson,Instrument Cluster,PATS Type C ,Parameter Reset Required
2003,Ford,F-150 Heritage,Instrument Cluster,PATS Type C ,Parameter Reset Required
2003,Ford,Focus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2003,Ford,"Ranger (2.3L, 3.0L, & 4.0L)",Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Taurus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Ford,Thunderbird,Instrument Cluster,PATS Type C ,Parameter Reset Required
2003,Ford,Windstar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Escape,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Excursion,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2004,Ford,Expedition,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Explorer (4dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Explorer Sport Trac,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,F-150,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,F-150 Heritage,Instrument Cluster,PATS Type C ,Parameter Reset Required
2004,Ford,Focus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Freestar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2004,Ford,"Ranger (2.3L, 3.0L, & 4.0L)",Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Taurus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Ford,Thunderbird,Instrument Cluster,PATS Type C ,Parameter Reset Required
2005,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Escape,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Excursion,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2005,Ford,Expedition,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Explorer (4dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Explorer Sport Trac,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,F-150,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,F-150 Heritage,Instrument Cluster,PATS Type C ,Parameter Reset Required
2005,Ford,Five Hundred,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Focus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Freestar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Freestyle,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,GT,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2005,Ford,Mustang,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Ranger (3.0L & 4.0L only),No PATS,PATS Type NA ,Parameter Reset Not Required
2005,Ford,Taurus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Ford,Thunderbird,Instrument Cluster,PATS Type C ,Parameter Reset Required
2006,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Escape,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Escape (Hybrid),Powertrain Control Module,PATS Type F ,Parameter Reset Required
2006,Ford,Expedition,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Explorer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2006,Ford,F-150,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,F-150 Harley-Davidson,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,F-150 Heritage,Instrument Cluster,PATS Type C ,Parameter Reset Required
2006,Ford,Five Hundred,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Focus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Freestar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Freestyle,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Fusion,Instrument Cluster,PATS Type C ,Parameter Reset Required
2006,Ford,GT,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2006,Ford,Mustang,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Ranger (3.0L & 4.0L only),Powertrain Control Module,PATS Type C ,Parameter Reset Not Required
2006,Ford,Taurus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Ford,Thunderbird,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,Edge,Instrument Cluster,PATS Type A ,Parameter Reset Required
2007,Ford,Escape,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,Escape (Hybrid),Powertrain Control Module,PATS Type F ,Parameter Reset Required
2007,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Ford,Explorer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Ford,Explorer Sport Trac,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Ford,F-150,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,F-150 Harley-Davidson,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,Five Hundred,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,Focus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,Freestar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,Freestyle,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,Fusion,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Ford,Mustang,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Ford,"Ranger (2.3L, 3.0L, & 4.0L)",Instrument Cluster,PATS Type G ,Parameter Reset Required
2008,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2008,Ford,Edge,Instrument Cluster,PATS Type A ,Parameter Reset Required
2008,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Ford,Explorer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Ford,Explorer Sport Trac,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Ford,F-150,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2008,Ford,F-150 Harley-Davidson,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2008,Ford,F-Series > 8500 (Stripped Chassis/Cab Chassis),Instrument Cluster,PATS Type G ,Parameter Reset Required
2008,Ford,Focus,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Ford,Freestyle,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Ford,Fusion,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Ford,Mustang,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2008,Ford,"Ranger (2.3L, 3.0L, & 4.0L)",Instrument Cluster,PATS Type G ,Parameter Reset Required
2008,Ford,Taurus,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Ford,Taurus X,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2009,Ford,Edge,Instrument Cluster,PATS Type A ,Parameter Reset Required
2009,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Escape (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Escape (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Explorer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Explorer Sport Trac,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,F-150,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,F-Series > 8500 (Stripped Chassis/Cab Chassis),Instrument Cluster,PATS Type G ,Parameter Reset Required
2009,Ford,Flex,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Focus,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Freestyle,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Fusion,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Mustang,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2009,Ford,"Ranger (2.3L, 3.0L, & 4.0L)",Instrument Cluster,PATS Type G ,Parameter Reset Required
2009,Ford,Taurus,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Ford,Taurus X,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2010,Ford,Edge,Instrument Cluster,PATS Type A ,Parameter Reset Required
2010,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Escape (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Explorer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Explorer Sport Trac,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,F-150,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,F-Series > 8500 (Stripped Chassis/Cab Chassis),Instrument Cluster,PATS Type G ,Parameter Reset Required
2010,Ford,Flex,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Focus,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Freestyle,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Fusion,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Fusion (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Ford,"Ranger (2.3L, 3.0L, & 4.0L)",Instrument Cluster,PATS Type G ,Parameter Reset Required
2010,Ford,TRANSIT CONNECT,Instrument Cluster,PATS Type A ,Parameter Reset Required
2011,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2011,Ford,Edge,Body Control Module,PATS Type B ,Parameter Reset Required
2011,Ford,Edge(Push to Start),Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2011,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,Escape (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,E-Series,Instrument Cluster,PATS Type A ,Parameter Reset Required
2011,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,Explorer (4dr),Body Control Module,PATS Type B ,Parameter Reset Required
2011,Ford,F-150,Body Control Module,PATS Type B ,Parameter Reset Required
2011,Ford,Flex,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,Focus,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,Fusion,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,Fusion (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Ford,TRANSIT CONNECT,Instrument Cluster,PATS Type A ,Parameter Reset Required
2012,Ford,Crown Victoria,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2012,Ford,Edge,Body Control Module,PATS Type B ,Parameter Reset Required
2012,Ford,Edge(Push to Start),Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2012,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Ford,Escape,Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Ford,Escape (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Ford,E-Series,Instrument Cluster,PATS Type A ,Parameter Reset Required
2012,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Ford,Explorer (4dr),Body Control Module,PATS Type B ,Parameter Reset Required
2012,Ford,F-150,Body Control Module,PATS Type B ,Parameter Reset Required
2012,Ford,Flex,Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Ford,FOCUS EV,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2012,Ford,Fusion,Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Ford,Fusion (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Ford,TRANSIT CONNECT,Instrument Cluster,PATS Type A ,Parameter Reset Required
2013,Ford,C-MAX (Hybrid),Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,C-MAX (Hybrid) (Push to Start),Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2013,Ford,Edge,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,Edge(Push to Start),Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2013,Ford,Escape,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,ESCAPE (Push to Start),Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2013,Ford,E-Series,Instrument Cluster,PATS Type A ,Parameter Reset Required
2013,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2013,Ford,Explorer (4dr),Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,F-150,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,Flex,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,FLEX (Push to Start),Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2013,Ford,FOCUS EV,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2013,Ford,FUSION,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,FUSION (Hybrid),Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,FUSION EV,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2013,Ford,TRANSIT CONNECT,Instrument Cluster,PATS Type A ,Parameter Reset Required
2013,Ford,TRANSIT,Body Control Module,PATS Type B ,Parameter Reset Required
2011,Ford,F-350 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2011,Ford,F-450 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2011,Ford,F-650 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2011,Ford,F-750 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2012,Ford,F-350 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2012,Ford,F-450 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2012,Ford,F-650 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2012,Ford,F-750 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,F-350 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,F-450 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,F-650 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2013,Ford,F-750 Super Duty,Body Control Module,PATS Type B ,Parameter Reset Required
2011,Ford,FIESTA (Keyed Ignition),Instrument Cluster, PATS Type A ,Parameter Reset Required
2011,Ford,FIESTA (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2012,Ford,FIESTA (Keyed Ignition),Instrument Cluster, PATS Type A ,Parameter Reset Required
2012,Ford,FIESTA (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2013,Ford,FIESTA (Keyed Ignition),Instrument Cluster, PATS Type A ,Parameter Reset Required
1998,Ford,Contour (V6-only) (Built February 1st or earlier),Stand Alone PATS Module, PATS Type A ,Parameter Reset Not Required
1998,Ford,Contour (V6-only) (Built February 2nd or later),Powertrain Control Module, PATS Type E ,Parameter Reset Not Required
2008,Ford,E-Series (Fleet Vehicles),Instrument Cluster, PATS Type G ,Parameter Reset Required
2008,Ford,E-Series (Non-Fleet Vehicles),Instrument Cluster, PATS Type C ,Parameter Reset Required
2009,Ford,E-Series (Fleet Vehicles),Instrument Cluster, PATS Type G ,Parameter Reset Required
2009,Ford,E-Series (Non-Fleet Vehicles),Instrument Cluster, PATS Type C ,Parameter Reset Required
2010,Ford,E-Series (Fleet Vehicles),Instrument Cluster, PATS Type G ,Parameter Reset Required
2001,Ford,Explorer Sport (2dr) (Built July 23rd 2000 or Earlier),Stand Alone PATS Module, PATS Type B ,Parameter Reset Required
2001,Ford,Explorer Sport (2dr) (Built July 24th 2000 or Later),Powertrain Control Module, PATS Type E ,Parameter Reset Required
2001,Ford,Explorer Sport Trac (Built July 23rd 2000 or Earlier),Stand Alone PATS Module, PATS Type B ,Parameter Reset Required
2001,Ford,Explorer Sport Trac (Built July 24th 2000 or Later),Powertrain Control Module, PATS Type E ,Parameter Reset Required
2010,Ford,Taurus (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2010,Ford,Taurus (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2011,Ford,Taurus (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2011,Ford,Taurus (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2012,Ford,Focus (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2012,Ford,Taurus (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2012,Ford,Taurus (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2013,Ford,Focus (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2013,Ford,Focus (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2013,Ford,Taurus (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2013,Ford,Taurus (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
