Year,Make,Model,Security
2006,Nissan,350Z,Std
2006,Nissan,Altima,Std
2006,Nissan,Maxima,Std
2006,Nissan,Murano,Std
2006,Nissan,Pathfinder,Std
2006,Nissan,Armada,Std
2006,Nissan,Quest,Std
2006,Nissan,Xterra,"Std on OR & SE trim, Opt on S trim"
2007,Nissan,Frontier,"KING CAB: N/A on XE & SE, Std on NISMO & LE CREW CAB: Std on SE, LE & NISMO"
2007,Nissan,Titan,"KING CAB: Std on SE & LE, N/A on XE CREW CAB: Std on SE & LE, Opt on XE"
2007,Nissan,350Z,Std
2007,Nissan,Altima,Std
2007,Nissan,Maxima,Std
2007,Nissan,Murano,Std
2007,Nissan,Pathfinder,Std
2007,Nissan,Armada,Std
2007,Nissan,Quest,Std
2007,Nissan,Sentra,Std
2007,Nissan,Versa,Std
2007,Nissan,Xterra,"Std on S, OR & SE, X – Opt"
2008,Nissan,Frontier,"KING CAB: All trim levels – optional only  CREW CAB: All trim levels Std"""
2008,Nissan,Titan,"KING CAB: Std on SE, Pro-4x & LE, N/A on XE CREW CAB: Std on SE Pro-4x & LE, Opt on XE"
2008,Nissan,350Z,Std
2008,Nissan,Altima,Std
2008,Nissan,Maxima,Std
2008,Nissan,Pathfinder,Std
2008,Nissan,Armada,Std
2008,Nissan,Quest,Std
2008,Nissan,Rogue,Std
2008,Nissan,Sentra,Std
2008,Nissan,Versa,Std
2008,Nissan,Xterra,Std
2009,Nissan,Frontier,KING CAB: Optional LE & Pro-4X Trim Levels  CREW CAB: Std
2009,Nissan,Titan,"KING CAB: Std on SE, Pro-4x & LE, N/A on XE CREW CAB: Std on SE Pro-4x & LE, Opt on XE"
2009,Nissan,350Z,Std
2009,Nissan,370Z,Std
2009,Nissan,Altima,Std
2009,Nissan,Cube,Std
2009,Nissan,GT-R,Std
2009,Nissan,Maxima,Std
2009,Nissan,Murano,Std
2009,Nissan,Pathfinder,Std
2009,Nissan,Armada,Std
2009,Nissan,Quest,Std
2009,Nissan,Rogue,Std
2009,Nissan,Sentra,Std
2009,Nissan,Versa,Std
2009,Nissan,Xterra,Std
2010,Nissan,Frontier,KING CAB: Optional LE & Pro-4X Trim Levels CREW CAB: Std
2010,Nissan,Titan,"KING CAB: Std on SE, Pro- 4x & LE, N/A on XE CREW CAB: Std on SE Pro- 4x & LE"
2010,Nissan,370Z,Std
2010,Nissan,Altima,Std
2010,Nissan,Cube,Std
2010,Nissan,GT-R,Std
2010,Nissan,Maxima,Std
2010,Nissan,Murano,Std
2010,Nissan,Pathfinder,Std
2010,Nissan,Armada,Std
2010,Nissan,Rogue,Std
2010,Nissan,Sentra,Std
2010,Nissan,Versa,Std
2010,Nissan,Xterra,Std
2011,Nissan,Frontier,KING CAB: Optional SV & Pro-4X Trim Levels CREW CAB: SV Pro-4X & SL Std
2011,Nissan,Titan,"KING CAB: Std on SV, Pro-4x CREW CAB: Std"
2011,Nissan,370Z,Std
2011,Nissan,Altima,Std
2011,Nissan,Cube,Std
2011,Nissan,GT-R,Std
2011,Nissan,Juke,Std
2011,Nissan,LEAF (EV),Std
2011,Nissan,Maxima,Std
2011,Nissan,Murano,Std
2011,Nissan,Pathfinder,Std
2011,Nissan,Armada,Std
2011,Nissan,Quest,Std
2011,Nissan,Rogue,Std
2011,Nissan,Sentra,Std
2011,Nissan,Versa,Std
2011,Nissan,Xterra,Std
2012,Nissan,Frontier,"KING CAB: Optional SV, SV14 & Pro- 4X CREW CAB: SV, Pro-4X & SL Std"""
2012,Nissan,Titan,"KING CAB: Std on SV, Pro-4x CREW CAB: Std"
2012,Nissan,370Z,Std
2012,Nissan,Altima,Std
2012,Nissan,Cube,Std
2012,Nissan,GT-R,Std
2012,Nissan,Juke,Std
2012,Nissan,LEAF (EV),Std
2012,Nissan,Maxima,Std
2012,Nissan,Murano,Std
2012,Nissan,Pathfinder,Std
2012,Nissan,Armada,Std
2012,Nissan,Quest,Std
2012,Nissan,Rogue,Std
2012,Nissan,Sentra,Std
2012,Nissan,Versa,Std
2012,Nissan,Xterra,Std
2013,Nissan,Frontier,"KING CAB: Std SV, SV14 & Pro-4X, S Model =Not Available CREW CAB: Std SV, Pro-4X & SL, S Model=Not Available"
2013,Nissan,Titan,"KING CAB: Std on SV, Pro-4x CREW CAB: Std on SV Pro-4x & SL S Model=Not Available"
2013,Nissan,370Z,Std
2013,Nissan,Altima,Std
2013,Nissan,Cube,Std
2013,Nissan,GT-R,Std
2013,Nissan,Juke,Std
2013,Nissan,LEAF (EV),Std
2013,Nissan,Maxima,Std
2013,Nissan,Murano,Std
2013,Nissan,Pathfinder,Std
2013,Nissan,Armada,Std
2013,Nissan,Quest,Std
2013,Nissan,Rogue,Std
2013,Nissan,Sentra,Std
2013,Nissan,Versa,Std
2013,Nissan,Xterra,Std
