Year,Make,Model,Security,ParameterReset
2004,Mazda,MPV,M-A,Parameter Reset Not Required
2004,Mazda,MX-5 (Miata),M-A,Parameter Reset Not Required
2004,Mazda,RX-8,M-C,Parameter Reset Required
2004,Mazda,Tribute,PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2005,Mazda,B-Series (3.0L & 4.0L only),PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2005,Mazda,Mazda3,M-C,Parameter Reset Required
2005,Mazda,Mazda6,M-B,Parameter Reset Not Required
2005,Mazda,MPV,M-A,Parameter Reset Not Required
2005,Mazda,MX-5 (Miata),M-A,Parameter Reset Not Required
2005,Mazda,RX-8,M-C,Parameter Reset Required
2005,Mazda,Tribute,PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2006,Mazda,B-Series (3.0L & 4.0L only),PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2006,Mazda,Mazda3,M-C,Parameter Reset Required
2006,Mazda,MPV,M-A,Parameter Reset Not Required
2006,Mazda,Tribute,PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2007,Mazda,"B-Series (2.3L, 3.0L, & 4.0L)",PATS Type G (Instrument Cluster),Parameter Reset Required
2007,Mazda,Mazda3,M-C,Parameter Reset Required
2007,Mazda,Mazda5,M-C,Parameter Reset Required
2007,Mazda,Tribute,PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2008,Mazda,"B-Series (2.3L, 3.0L, & 4.0L)",PATS Type G (Instrument Cluster),Parameter Reset Required
2008,Mazda,Mazda3,M-C,Parameter Reset Required
2008,Mazda,Mazda5,M-C,Parameter Reset Required
2009,Mazda,"B-Series (2.3L, 3.0L, & 4.0L)",PATS Type G (Instrument Cluster),Parameter Reset Required
2009,Mazda,Mazda3,M-C,Parameter Reset Required
2009,Mazda,Mazda5,M-C,Parameter Reset Required
2010,Mazda,"B-Series (2.3L, 3.0L, & 4.0L)",PATS Type G (Instrument Cluster),Parameter Reset Required
2010,Mazda,Mazda5,M-C,Parameter Reset Required
2011,Mazda,Mazda2,M-C,Parameter Reset Required
2011,Mazda,Mazda5,M-C,Parameter Reset Required
2012,Mazda,Mazda2,M-C,Parameter Reset Required
2012,Mazda,Mazda5,M-C,Parameter Reset Required
2013,Mazda,CX-5,M-G,Parameter Reset Required
2013,Mazda,Mazda2,M-C,Parameter Reset Required
2013,Mazda,Mazda5,M-C,Parameter Reset Required
2014,Mazda,CX-5,M-G,Parameter Reset Required
2014,Mazda,Mazda2,M-C,Parameter Reset Required
2014,Mazda,Mazda3,M-G,Parameter Reset Required
2014,Mazda,Mazda5,M-C,Parameter Reset Required
2014,Mazda,Mazda6,M-G,Parameter Reset Required
2015,Mazda,CX-5,M-G,Parameter Reset Required
2015,Mazda,Mazda3,M-G,Parameter Reset Required
2015,Mazda,Mazda5,M-C,Parameter Reset Required
2015,Mazda,Mazda6,M-G,Parameter Reset Required
2016,Mazda,CX-3,M-G,Parameter Reset Required
2016,Mazda,CX-5,M-G,Parameter Reset Required
2016,Mazda,CX-9,M-G,Parameter Reset Required
2016,Mazda,Mazda3,M-G,Parameter Reset Required
2016,Mazda,Mazda5,M-C,Parameter Reset Required
2016,Mazda,Mazda6,M-G,Parameter Reset Required
2016,Mazda,MX-5 (Miata),M-G,Parameter Reset Required
2017,Mazda,CX-3,M-G,Parameter Reset Required
2017,Mazda,CX-9,M-G,Parameter Reset Required
2017,Mazda,Mazda3,M-G,Parameter Reset Required
2017,Mazda,Mazda5,M-C,Parameter Reset Required
2017,Mazda,Mazda6,M-G,Parameter Reset Required
2017,Mazda,MX-5 (Miata),M-G,Parameter Reset Required
2018,Mazda,CX-3,M-G,Parameter Reset Required
2018,Mazda,CX-9,M-G,Parameter Reset Required
2018,Mazda,Mazda3,M-G,Parameter Reset Required
2018,Mazda,Mazda6,M-G,Parameter Reset Required
2018,Mazda,MX-5 (Miata),M-G,Parameter Reset Required
2019,Mazda,CX-3,M-G,Parameter Reset Required
2019,Mazda,CX-9,M-G,Parameter Reset Required
2019,Mazda,Mazda3,M-H,Parameter Reset Not Required
2019,Mazda,Mazda6,M-G,Parameter Reset Required
2019,Mazda,MX-5 (Miata),M-G,Parameter Reset Required
2020,Mazda,CX-3,M-G,Parameter Reset Required
2020,Mazda,CX-9,M-G,Parameter Reset Required
2020,Mazda,CX-30,M-H,Parameter Reset Not Required
2020,Mazda,Mazda3,M-H,Parameter Reset Not Required
2020,Mazda,Mazda6,M-G,Parameter Reset Required
2020,Mazda,MX-5 (Miata),M-G,Parameter Reset Required
2006,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2006,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2007,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2007,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2008,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2008,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2009,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2009,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2010,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2010,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2011,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2011,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2012,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2012,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2013,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2013,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2014,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2014,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2015,Mazda,MX-5 (Miata) (Advanced Keyless Entry w/ Keyless Start)),M-D,Parameter Reset Required
2015,Mazda,MX-5 (Miata) (Keyless Entry w/ Keyed Ignition),M-C,Parameter Reset Required
2006,Mazda,Mazda6 (Keyed Ignition),M-B,Parameter Reset Not Required
2006,Mazda,Mazda6 (Advanced Keyless),M-D,Parameter Reset Not Required
2007,Mazda,Mazda6 (Keyed Ignition),M-B,Parameter Reset Not Required
2007,Mazda,Mazda6 (Advanced Keyless),M-D,Parameter Reset Not Required
2008,Mazda,Mazda6 (Keyed Ignition),M-B,Parameter Reset Not Required
2008,Mazda,Mazda6 (Advanced Keyless),M-D,Parameter Reset Not Required
2006,Mazda,RX-8 (Keyed Ignition),M-C,Parameter Reset Required
2006,Mazda,RX-8 (Advanced Keyless),M-D,Parameter Reset Required
2007,Mazda,CX-7 (Keyed Ignition),M-C,Parameter Reset Required
2007,Mazda,CX-7 (Advanced Keyless),M-D,Parameter Reset Required
2007,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2007,Mazda,CX-9 (Advanced Keyless),M-D,Parameter Reset Required
2007,Mazda,RX-8 (Keyed Ignition),M-C,Parameter Reset Required
2007,Mazda,RX-8 (Advanced Keyless),M-D,Parameter Reset Required
2008,Mazda,CX-7 (Keyed Ignition),M-C,Parameter Reset Required
2008,Mazda,CX-7 (Advanced Keyless),M-D,Parameter Reset Required
2008,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2008,Mazda,CX-9 (Advanced Keyless),M-D,Parameter Reset Required
2008,Mazda,RX-8 (Keyed Ignition),M-C,Parameter Reset Required
2008,Mazda,RX-8 (Advanced Keyless),M-D,Parameter Reset Required
2009,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2009,Mazda,CX-9 (Advanced Keyless),M-D,Parameter Reset Required
2009,Mazda,RX-8 (Keyed Ignition),M-C,Parameter Reset Required
2009,Mazda,RX-8 (Advanced Keyless),M-D,Parameter Reset Required
2010,Mazda,RX-8 (Keyed Ignition),M-C,Parameter Reset Required
2010,Mazda,RX-8 (Advanced Keyless),M-D,Parameter Reset Required
2011,Mazda,RX-8 (Keyed Ignition),M-C,Parameter Reset Required
2011,Mazda,RX-8 (Advanced Keyless),M-D,Parameter Reset Required
2009,Mazda,CX-7 (Keyed Ignition),M-C,Parameter Reset Required
2009,Mazda,CX-7 (Advanced Keyless),M-E,Parameter Reset Required
2010,Mazda,CX-7 (Keyed Ignition),M-C,Parameter Reset Required
2010,Mazda,CX-7 (Advanced Keyless),M-E,Parameter Reset Required
2011,Mazda,CX-7 (Keyed Ignition),M-C,Parameter Reset Required
2011,Mazda,CX-7 (Advanced Keyless),M-E,Parameter Reset Required
2012,Mazda,CX-7 (Keyed Ignition),M-C,Parameter Reset Required
2012,Mazda,CX-7 (Advanced Keyless),M-E,Parameter Reset Required
2015,Mazda,Mazda2 (Keyed Ignition),M-C,Parameter Reset Required
2015,Mazda,Mazda2 (Advanced Keyless),M-E,Parameter Reset Required
2009,Mazda,Mazda6 (Keyed Ignition),M-C,Parameter Reset Required
2009,Mazda,Mazda6 (Advanced Keyless),M-F,Parameter Reset Required
2010,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2010,Mazda,CX-9 (Advanced Keyless),M-F,Parameter Reset Required
2010,Mazda,Mazda3 (Keyed Ignition),M-C,Parameter Reset Required
2010,Mazda,Mazda3 (Advanced Keyless),M-F,Parameter Reset Required
2010,Mazda,Mazda6 (Keyed Ignition),M-C,Parameter Reset Required
2010,Mazda,Mazda6 (Advanced Keyless),M-F,Parameter Reset Required
2011,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2011,Mazda,CX-9 (Advanced Keyless),M-F,Parameter Reset Required
2011,Mazda,Mazda3 (Keyed Ignition),M-C,Parameter Reset Required
2011,Mazda,Mazda3 (Advanced Keyless),M-F,Parameter Reset Required
2011,Mazda,Mazda6 (Keyed Ignition),M-C,Parameter Reset Required
2011,Mazda,Mazda6 (Advanced Keyless),M-F,Parameter Reset Required
2012,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2012,Mazda,CX-9 (Advanced Keyless),M-F,Parameter Reset Required
2012,Mazda,Mazda3 (Keyed Ignition),M-C,Parameter Reset Required
2012,Mazda,Mazda3 (Advanced Keyless),M-F,Parameter Reset Required
2012,Mazda,Mazda6 (Keyed Ignition),M-C,Parameter Reset Required
2012,Mazda,Mazda6 (Advanced Keyless),M-F,Parameter Reset Required
2013,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2013,Mazda,CX-9 (Advanced Keyless),M-F,Parameter Reset Required
2013,Mazda,Mazda3 (Keyed Ignition),M-C,Parameter Reset Required
2013,Mazda,Mazda3 (Advanced Keyless),M-F,Parameter Reset Required
2013,Mazda,Mazda6 (Keyed Ignition),M-C,Parameter Reset Required
2013,Mazda,Mazda6 (Advanced Keyless),M-F,Parameter Reset Required
2014,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2014,Mazda,CX-9 (Advanced Keyless),M-F,Parameter Reset Required
2015,Mazda,CX-9 (Keyed Ignition),M-C,Parameter Reset Required
2015,Mazda,CX-9 (Advanced Keyless),M-F,Parameter Reset Required
