Year,Make,Model,Security,Dodge Security System Addiotional Info
2008,Dodge,Caliber,Std with power windows & power locks,"“SKREES” Sentry Key Remote Entry System (same as SKIS, the key remote entry module was combined with the Sentry Key Immobilizer Module, it’s still Sentry Key)"
2009,Dodge,Dakota,Opt,Information not available
2009,Dodge,Ram 4500,Opt,Information not available
2009,Dodge,Ram 5500,Opt,Information not available
2009,Dodge,Avenger,Std,Information not available
2009,Dodge,Avenger Sedan,Std,Information not available
2009,Dodge,Caravan,Std,Information not available
2009,Dodge,Challenger,Std,Information not available
2009,Dodge,Charger,Std,Information not available
2009,Dodge,Durango,Std,Information not available
2009,Dodge,Journey,Std,Information not available
2009,Dodge,Magnum,Std,Information not available
2009,Dodge,Nitro,Std,Information not available
2009,Dodge,Ram 1500,Std,Information not available
2009,Dodge,Ram 2500,Std,Information not available
2009,Dodge,Ram 3500,Std,Information not available
2009,Dodge,Sprinter,Std,Information not available
2009,Dodge,Viper,Std,Information not available
2009,Dodge,Caliber,Std w/o  power windows & power locks,Sentry Key Immobilizer System = Standard equipment
2009,Dodge,Caliber,Std with power windows & power locks,"“SKREES” Sentry Key Remote Entry System (same as SKIS, the key remote entry module was combined with the Sentry Key Immobilizer Module, it’s still Sentry Key)"
2010,Dodge,Dakota,Opt,Information not available
2010,Dodge,Ram 4500,Opt,Information not available
2010,Dodge,Ram 5500,Opt,Information not available
2010,Dodge,Avenger,Std,Information not available
2010,Dodge,Avenger Sedan,Std,Information not available
2010,Dodge,Caravan,Std,Information not available
2010,Dodge,Challenger,Std,Information not available
2010,Dodge,Charger,Std,Information not available
2010,Dodge,Journey,Std,Information not available
2010,Dodge,Nitro,Std,Information not available
2010,Dodge,Ram 1500,Std,Information not available
2010,Dodge,Ram 2500,Std,Information not available
2010,Dodge,Ram 3500,Std,Information not available
2010,Dodge,Viper,Std,Information not available
2010,Dodge,Caliber,Std w/o  power windows & power locks,Sentry Key Immobilizer System = Standard equipment
2010,Dodge,Caliber,Std with power windows & power locks,"“SKREES” Sentry Key Remote Entry System (same as SKIS, the key remote entry module was combined with the Sentry Key Immobilizer Module, it’s still Sentry Key)"
2011,Dodge,Dakota,Opt,Information not available
2011,Dodge,Avenger Sedan,Std,Information not available
2011,Dodge,Caravan,Std,Information not available
2011,Dodge,Challenger,Std,Information not available
2011,Dodge,Charger,Std,Information not available
2011,Dodge,Durango,Std,Information not available
2011,Dodge,Journey,Std,Information not available
2011,Dodge,Nitro,Std,Information not available
2011,Dodge,Ram 1500,Std,Information not available
2011,Dodge,Ram 2500,Std,Information not available
2011,Dodge,Ram 3500,Std,Information not available
2011,Dodge,Ram 4500,Std,Information not available
2011,Dodge,Ram 5500,Std,Information not available
2011,Dodge,Caliber,Std w/o  power windows & power locks,Sentry Key Immobilizer System = Standard equipment
2011,Dodge,Caliber,Std with power windows & power locks,"“SKREES” Sentry Key Remote Entry System (same as SKIS, the key remote entry module was combined with the Sentry Key Immobilizer Module, it’s still Sentry Key)"
2012,Dodge,Dakota,Opt,Information not available
2012,Dodge,Avenger Sedan,Std,Information not available
2012,Dodge,Caravan,Std,Information not available
2012,Dodge,Challenger,Std,Information not available
2012,Dodge,Charger,Std,Information not available
2012,Dodge,Durango,Std,Information not available
2012,Dodge,Journey,Std,Information not available
2012,Dodge,Nitro,Std,Information not available
2012,Dodge,Ram 1500,Std,Information not available
2012,Dodge,Ram 2500,Std,Information not available
2012,Dodge,Ram 3500,Std,Information not available
2012,Dodge,Ram 4500,Std,Information not available
2012,Dodge,Ram 5500,Std,Information not available
2012,Dodge,Ram C/V,Std,Information not available
2012,Dodge,Caliber,Std w/o  power windows & power locks,Sentry Key Immobilizer System = Standard equipment
2012,Dodge,Caliber,Std with power windows & power locks,"“SKREES” Sentry Key Remote Entry System (same as SKIS, the key remote entry module was combined with the Sentry Key Immobilizer Module, it’s still Sentry Key)"
2013,Dodge,Avenger Sedan,Std,Information not available
2013,Dodge,Caravan,Std,Information not available
2013,Dodge,Challenger,Std,Information not available
2013,Dodge,Charger,Std,Information not available
2013,Dodge,Dart,Std,Information not available
2013,Dodge,Durango,Std,Information not available
2013,Dodge,Journey,Std,Information not available
2013,Dodge,Ram 1500,Std,Information not available
2013,Dodge,Ram 2500,Std,Information not available
2013,Dodge,Ram 3500,Std,Information not available
2013,Dodge,Ram 4500,Std,Information not available
2013,Dodge,Ram 5500,Std,Information not available
2013,Dodge,Ram C/V,Std,Information not available
2013,Dodge,Viper,Std,Information not available
