Year,Make,Model,Anti-Theft Module Location,PATS Type,ParameterReset
2010,Lincoln,MKT,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2010,Lincoln,MKX,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Lincoln,MKZ,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2011,Lincoln,MKT,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2011,Lincoln,MKX,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2011,Lincoln,MKZ,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2011,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2012,Lincoln,MKT,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2012,Lincoln,MKX,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2012,Lincoln,MKZ,Instrument Cluster,PATS Type C ,Parameter Reset Required
2012,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2013,Lincoln,MKS,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2013,Lincoln,MKT,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2013,Lincoln,MKX,Remote Function Actuator / Keyless Vehicle Module,PATS Type C ,Parameter Reset Required
2013,Lincoln,MKZ (Push to Start),Body Control Module,PATS Type B ,Parameter Reset Required
2013,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Lincoln,MKS (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2009,Lincoln,MKS (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2010,Lincoln,MKS (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2010,Lincoln,MKS (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2011,Lincoln,MKS (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2011,Lincoln,MKS (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
2012,Lincoln,MKS (Keyed Ignition),Instrument Cluster, PATS Type C ,Parameter Reset Required
2012,Lincoln,MKS (Push To Start),Remote Function Actuator / Keyless Vehicle Module, PATS Type C ,Parameter Reset Required
